"Feature","population","Protein"
"Effector_CD8_pTBK1","Effector_CD8","pTBK1"
"Effector_CD8_IkB","Effector_CD8","IkB"
"Effector_CD8_pSTAT6","Effector_CD8","pSTAT6"
"Effector_CD8_pSTAT4","Effector_CD8","pSTAT4"
"Effector_CD8_p4EBP1","Effector_CD8","p4EBP1"
"EM_CD8_pSTAT3","EM_CD8","pSTAT3"
"EM_CD8_pMAPKAPK2","EM_CD8","pMAPKAPK2"
"EM_CD8_pCREB","EM_CD8","pCREB"
"EM_CD8_pPLCg2","EM_CD8","pPLCg2"
"EM_CD8_pSTAT1","EM_CD8","pSTAT1"
"EM_CD8_pSTAT5","EM_CD8","pSTAT5"
"EM_CD8_pS6","EM_CD8","pS6"
"EM_CD8_pERK","EM_CD8","pERK"
"EM_CD8_pP38","EM_CD8","pP38"
"EM_CD8_pZap70","EM_CD8","pZap70"
"EM_CD8_pTBK1","EM_CD8","pTBK1"
"EM_CD8_IkB","EM_CD8","IkB"
"EM_CD8_pSTAT6","EM_CD8","pSTAT6"
"EM_CD8_pSTAT4","EM_CD8","pSTAT4"
"EM_CD8_p4EBP1","EM_CD8","p4EBP1"
"Naive_CD8_pSTAT3","Naive_CD8","pSTAT3"
"Naive_CD8_pMAPKAPK2","Naive_CD8","pMAPKAPK2"
"Naive_CD8_pCREB","Naive_CD8","pCREB"
"Naive_CD8_pPLCg2","Naive_CD8","pPLCg2"
"Naive_CD8_pSTAT1","Naive_CD8","pSTAT1"
"Naive_CD8_pSTAT5","Naive_CD8","pSTAT5"
"Naive_CD8_pS6","Naive_CD8","pS6"
"Naive_CD8_pERK","Naive_CD8","pERK"
"Naive_CD8_pP38","Naive_CD8","pP38"
"Naive_CD8_pZap70","Naive_CD8","pZap70"
"Naive_CD8_pTBK1","Naive_CD8","pTBK1"
"Naive_CD8_IkB","Naive_CD8","IkB"
"Naive_CD8_pSTAT6","Naive_CD8","pSTAT6"
"Naive_CD8_pSTAT4","Naive_CD8","pSTAT4"
"Naive_CD8_p4EBP1","Naive_CD8","p4EBP1"
"Neutrophils_pSTAT3","Neutrophils","pSTAT3"
"Neutrophils_pMAPKAPK2","Neutrophils","pMAPKAPK2"
"Neutrophils_pCREB","Neutrophils","pCREB"
"Neutrophils_pPLCg2","Neutrophils","pPLCg2"
"Neutrophils_pSTAT1","Neutrophils","pSTAT1"
"Neutrophils_pSTAT5","Neutrophils","pSTAT5"
"Neutrophils_pS6","Neutrophils","pS6"
"Neutrophils_pERK","Neutrophils","pERK"
"Neutrophils_pP38","Neutrophils","pP38"
"Neutrophils_pZap70","Neutrophils","pZap70"
"Neutrophils_pTBK1","Neutrophils","pTBK1"
"Neutrophils_IkB","Neutrophils","IkB"
"Neutrophils_pSTAT6","Neutrophils","pSTAT6"
"Neutrophils_pSTAT4","Neutrophils","pSTAT4"
"Neutrophils_p4EBP1","Neutrophils","p4EBP1"
